HourOfYear,Electrolyzer_Capacity_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pIES_MW,H2_Storage_Level_kg,H2_to_Market_kg_hr,H2_from_Storage_kg_hr,H2_net_to_Storage_kg_hr,"Electrolyzer_Status (0=off, 1=on)","Electrolyzer_Startup (0=no, 1=yes)","Electrolyzer_Shutdown (0=no, 1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,RegUp_Turbine_MW,RegDown_Turbine_MW,SR_Turbine_MW,NSR_Turbine_MW,RegUp_Electrolyzer_MW,RegDown_Electrolyzer_MW,SR_Electrolyzer_MW,NSR_Electrolyzer_MW,ECRS_Turbine_MW,ECRS_Electrolyzer_MW,Total_RegUp_MW,Total_RegDown_MW,Total_SR_MW,Total_NSR_MW,Total_ECRS_MW,EnergyPrice_LMP_USDperMWh,p_RegU_ERCOT,deploy_factor_RegU_ERCOT,loc_RegU_ERCOT,p_RegD_ERCOT,deploy_factor_RegD_ERCOT,loc_RegD_ERCOT,p_Spin_ERCOT,deploy_factor_Spin_ERCOT,loc_Spin_ERCOT,p_NSpin_ERCOT,deploy_factor_NSpin_ERCOT,loc_NSpin_ERCOT,p_ECRS_ERCOT,deploy_factor_ECRS_ERCOT,loc_ECRS_ERCOT,Deployed_Up_Reserves_MW,Deployed_Down_Reserves_MW,Revenue_Energy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
11,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6833,11.5719,0.676,-0.0034,5.7216,0.7557,-0.3662,15.7124,0.7872,0.0103,12.1982,0.9001,-0.0972,3.0,0.8538,-0.2236,0.0,0.0,6719.654,0.0,-0.6801,6718.9739,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5958.9739
12,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.26,5.3129,0.6944,-0.1416,9.4444,0.7632,0.065,16.8247,0.7824,0.3039,14.4437,0.9418,-0.3681,13.4598,0.8668,0.3442,0.0,0.0,7698.8,0.0,0.2034,7699.0034,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6939.0034
13,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2104,6.8037,0.6786,0.2123,10.32,0.7493,0.2205,15.4916,0.8576,-0.1557,11.7575,0.9203,-0.1406,11.5253,0.8906,-0.3882,0.0,0.0,9959.952,0.0,-0.2517,9959.7003,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9199.7003
14,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5053,5.0772,0.696,-0.2728,7.8622,0.7441,0.0631,3.6148,0.8526,-0.1388,7.9947,0.919,-0.0176,5.947,0.9419,-0.1071,0.0,0.0,6652.014,0.0,-0.4732,6651.5408,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5891.5408
15,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0364,5.8577,0.6584,0.1408,7.1924,0.7361,-0.1602,7.6516,0.8385,-0.0604,6.6245,0.9429,-0.0476,16.2033,0.9604,0.2977,0.0,0.0,7613.832,0.0,0.1703,7614.0023,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6854.0023
16,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8487,10.6895,0.6423,0.5155,7.5955,0.7261,-0.2816,7.3063,0.8238,-0.0733,12.3963,0.9225,0.46,16.0515,0.8737,-0.2512,0.0,0.0,10202.506,0.0,0.3694,10202.8754,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9442.8754
17,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9368,11.1021,0.6522,0.2414,6.1154,0.7627,0.0609,4.3716,0.8594,0.0514,9.9914,0.9406,0.1962,7.7196,0.8717,0.3231,0.0,0.0,9475.984,0.0,0.873,9476.857,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8716.857
18,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2316,14.0923,0.6572,-0.1014,8.8249,0.799,0.0089,9.4142,0.8734,0.1617,9.6334,0.952,0.3138,11.0287,0.9008,-0.1077,0.0,0.0,11868.008,0.0,0.2753,11868.2833,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11108.2833
19,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1214,5.6028,0.6238,-0.2546,11.7982,0.7882,0.6033,8.9308,0.862,-0.0305,7.5231,0.941,0.1108,3.0,0.8927,-0.2382,0.0,0.0,9166.132,0.0,0.1908,9166.3228,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8406.3228
20,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0109,10.0535,0.6198,0.2337,4.6823,0.7873,-0.2478,6.5182,0.8254,-0.1498,7.0743,0.9159,0.0311,8.2459,0.9502,0.0063,0.0,0.0,7604.142,0.0,-0.1265,7604.0155,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6844.0155
21,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3298,12.4006,0.5793,-0.3061,2.1016,0.7307,0.0969,12.2274,0.8565,0.1853,14.3205,0.8934,0.0816,7.189,0.9176,0.1544,0.0,0.0,12285.324,0.0,0.2121,12285.5361,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11525.5361
22,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.461,13.179,0.6084,0.0015,5.9848,0.7048,-0.1369,7.4946,0.8433,0.1396,7.2904,0.8766,-0.0749,3.478,0.8661,-0.4361,0.0,0.0,8155.18,0.0,-0.5068,8154.6732,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7394.6732
23,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3395,5.2595,0.6799,0.1811,12.6285,0.7164,-0.1695,5.8025,0.8644,-0.1825,10.9322,0.8907,-0.0262,5.1739,0.8515,-0.5005,0.0,0.0,7729.01,0.0,-0.6976,7728.3124,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6968.3124
