HourOfYear,Electrolyzer_Capacity_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pIES_MW,H2_Storage_Level_kg,H2_to_Market_kg_hr,H2_from_Storage_kg_hr,H2_net_to_Storage_kg_hr,"Electrolyzer_Status (0=off, 1=on)","Electrolyzer_Startup (0=no, 1=yes)","Electrolyzer_Shutdown (0=no, 1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,RegUp_Turbine_MW,RegDown_Turbine_MW,SR_Turbine_MW,NSR_Turbine_MW,RegUp_Electrolyzer_MW,RegDown_Electrolyzer_MW,SR_Electrolyzer_MW,NSR_Electrolyzer_MW,ECRS_Turbine_MW,ECRS_Electrolyzer_MW,Total_RegUp_MW,Total_RegDown_MW,Total_SR_MW,Total_NSR_MW,Total_ECRS_MW,EnergyPrice_LMP_USDperMWh,p_RegU_ERCOT,deploy_factor_RegU_ERCOT,loc_RegU_ERCOT,p_RegD_ERCOT,deploy_factor_RegD_ERCOT,loc_RegD_ERCOT,p_Spin_ERCOT,deploy_factor_Spin_ERCOT,loc_Spin_ERCOT,p_NSpin_ERCOT,deploy_factor_NSpin_ERCOT,loc_NSpin_ERCOT,p_ECRS_ERCOT,deploy_factor_ECRS_ERCOT,loc_ECRS_ERCOT,Deployed_Up_Reserves_MW,Deployed_Down_Reserves_MW,Revenue_Energy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
1080,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9353,7.1709,0.6686,-0.0192,8.8457,0.7399,-0.1609,3.0,0.918,-0.3216,5.2167,0.898,-0.1117,5.6014,0.8928,-0.0086,0.0,0.0,9855.414,0.0,-0.622,9854.792,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9094.792
1081,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5366,10.7676,0.6941,-0.2668,8.221,0.7627,-0.3064,5.8314,0.9036,0.0639,6.875,0.8728,0.219,7.8168,0.8736,-0.4199,0.0,0.0,6663.908,0.0,-0.7102,6663.1978,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5903.1978
1082,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4701,3.4966,0.681,-0.2041,6.074,0.7703,-0.0283,7.0618,0.8627,-0.0912,4.2183,0.8474,-0.4604,3.0,0.9189,-0.0317,0.0,0.0,5878.638,0.0,-0.8157,5877.8223,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5117.8223
1083,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0265,9.9197,0.6836,-0.432,12.0721,0.741,-0.4759,3.0,0.8354,0.108,8.3116,0.8529,0.0431,8.8106,0.9013,0.4049,0.0,0.0,5330.07,0.0,-0.3519,5329.7181,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4569.7181
1084,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.027,6.3862,0.6648,-0.2023,5.8525,0.766,0.0209,6.6006,0.8991,0.0896,7.5766,0.9088,0.0628,10.9415,0.9285,-0.0433,0.0,0.0,9510.26,0.0,-0.0723,9510.1877,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8750.1877
1085,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2197,8.3989,0.7595,0.3411,2.6478,0.7541,-0.1049,7.5917,0.8874,0.0308,5.0292,0.8953,-0.2188,6.8474,0.8724,-0.1343,0.0,0.0,6163.486,0.0,-0.0861,6163.3999,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5403.3999
1086,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8085,6.1263,0.7157,0.3003,3.7102,0.7513,0.2999,3.2115,0.8903,-0.0842,15.1994,0.9248,-0.4356,8.1944,0.8286,0.2459,0.0,0.0,6387.23,0.0,0.3263,6387.5563,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5627.5563
1087,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8163,11.5041,0.723,0.0675,5.0525,0.7952,0.1429,3.0,0.9284,-0.0892,6.236,0.9313,-0.055,3.0,0.8224,0.0578,0.0,0.0,7910.194,0.0,0.124,7910.318,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7150.318
1088,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4556,7.1951,0.7091,0.5266,7.7775,0.7843,0.2951,8.9544,0.9243,0.2036,9.3692,0.914,0.1091,3.0,0.81,-0.1756,0.0,0.0,7013.128,0.0,0.9588,7014.0868,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6254.0868
1089,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0451,5.5376,0.7089,0.3037,13.1018,0.7714,0.0149,9.1012,0.9421,-0.294,13.2634,0.9257,0.1328,9.6148,0.8684,-0.2013,0.0,0.0,6857.138,0.0,-0.0439,6857.0941,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6097.0941
1090,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7779,12.314,0.724,0.1087,9.2531,0.7565,0.2331,4.9877,0.9275,0.1874,7.0166,0.9419,-0.0845,14.1165,0.8609,0.003,0.0,0.0,7895.602,0.0,0.4477,7896.0497,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7136.0497
1091,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9974,7.7592,0.737,0.1359,7.7975,0.7212,0.0134,10.9881,0.9016,0.0001,7.8972,0.9166,0.3674,3.0,0.8873,0.1579,0.0,0.0,9119.012,0.0,0.6747,9119.6867,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8359.6867
1092,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7651,10.5801,0.7169,0.0222,6.8972,0.732,-0.2135,3.0,0.8838,-0.2062,3.0,0.8947,0.5865,12.8862,0.8987,0.184,0.0,0.0,10170.738,0.0,0.373,10171.111,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9411.111
1093,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0087,12.7684,0.6744,-0.3148,13.4275,0.7186,-0.1236,12.9435,0.9241,0.309,17.3525,0.8923,0.4523,13.4417,0.9479,-0.1934,0.0,0.0,12543.306,0.0,0.1295,12543.4355,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11783.4355
1094,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.709,7.1179,0.6557,-0.0666,6.4395,0.7597,0.14,16.639,0.9286,-0.4267,14.0699,0.9092,-0.2157,15.2778,0.8971,0.2521,0.0,0.0,12049.42,0.0,-0.3169,12049.1031,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11289.1031
1095,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7092,11.7722,0.6502,-0.6486,5.7222,0.7881,0.121,17.2439,0.9226,-0.0788,19.7833,0.8707,-0.3267,10.6241,0.8697,-0.4295,0.0,0.0,13949.496,0.0,-1.3626,13948.1334,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,13188.1334
1096,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6491,11.7189,0.6414,-0.2736,7.3647,0.7569,0.0608,10.862,0.8689,0.26,11.5661,0.9103,-0.1035,5.4394,0.9045,-0.2333,0.0,0.0,12786.658,0.0,-0.2896,12786.3684,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,12026.3684
1097,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7942,5.5767,0.6197,0.347,8.5777,0.7403,0.0201,16.1413,0.9009,-0.0409,14.116,0.8675,0.038,13.828,0.9311,0.2361,0.0,0.0,13221.796,0.0,0.6003,13222.3963,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,12462.3963
1098,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0769,9.5807,0.6525,0.0194,10.3332,0.693,0.0578,8.0306,0.9639,0.0754,11.1016,0.8466,-0.1681,8.1047,0.9384,0.2079,0.0,0.0,9149.222,0.0,0.1924,9149.4144,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8389.4144
1099,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6581,9.587,0.6178,-0.2665,13.033,0.6193,-0.2112,16.063,0.9608,0.1553,12.8202,0.8728,-0.26,5.9467,0.9589,-0.0289,0.0,0.0,14310.078,0.0,-0.6113,14309.4667,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,13549.4667
1100,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2274,14.8447,0.6344,0.1318,11.5295,0.6525,0.0383,5.8551,0.933,0.3069,13.1888,0.8976,0.4194,11.0029,0.9514,-0.4373,0.0,0.0,12626.412,0.0,0.4591,12626.8711,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11866.8711
1101,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4216,12.7616,0.5946,0.1511,3.4392,0.6458,-0.0807,10.8808,0.9413,-0.7176,9.6675,0.9197,0.4162,4.1167,0.9698,0.1265,0.0,0.0,13080.208,0.0,-0.1045,13080.1035,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,12320.1035
1102,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5461,8.1991,0.6544,0.3855,6.8758,0.6798,-0.0426,13.1022,0.9654,0.2156,3.0,0.9173,0.0573,13.7019,0.9072,0.1688,0.0,0.0,4767.518,0.0,0.7846,4768.3026,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4008.3026
1103,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8887,4.1093,0.644,0.4446,10.3419,0.6551,-0.4801,12.8743,0.9045,0.0607,8.7298,0.9256,0.5181,9.2761,0.8941,0.0811,0.0,0.0,13257.706,0.0,0.6244,13258.3304,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,12498.3304
1104,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1683,9.5102,0.6322,0.1953,9.3549,0.6565,0.0986,11.7965,0.8718,0.1691,3.8918,0.9288,-0.1777,3.9363,0.8793,0.3361,0.0,0.0,8043.954,0.0,0.6214,8044.5754,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7284.5754
1105,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.003,6.4675,0.6174,-0.3787,4.1614,0.6628,-0.3391,11.1306,0.8639,0.194,3.3067,0.9294,0.1343,9.3662,0.8755,-0.0507,0.0,0.0,9501.14,0.0,-0.4402,9500.6998,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8740.6998
1106,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1991,9.4505,0.6926,0.5701,5.5274,0.6665,-0.3302,5.5726,0.8845,-0.5159,9.1265,0.9263,0.1819,3.0,0.8995,0.1757,0.0,0.0,4635.658,0.0,0.0816,4635.7396,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3875.7396
1107,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.881,7.3524,0.7385,0.3383,6.4468,0.612,0.1007,13.2382,0.863,0.259,3.0,0.9603,0.1582,9.7198,0.8901,-0.2194,0.0,0.0,7174.78,0.0,0.6368,7175.4168,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6415.4168
1108,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5587,4.8766,0.7318,0.2123,9.0847,0.6585,-0.4143,3.0,0.8766,0.0352,5.0873,0.9972,0.0159,11.3142,0.9198,0.0824,0.0,0.0,3632.306,0.0,-0.0685,3632.2375,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2872.2375
1109,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3739,5.3962,0.708,-0.0042,6.7537,0.6638,0.1942,3.0486,0.8188,-0.0179,6.7756,1.0,-0.0561,5.6339,0.9139,0.5845,0.0,0.0,4322.082,0.0,0.7005,4322.7825,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3562.7825
1110,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4113,7.551,0.7754,-0.3875,6.5542,0.6303,-0.1938,10.6755,0.8421,-0.139,13.8559,0.986,-0.0868,19.4075,0.9483,-0.4545,0.0,0.0,9276.294,0.0,-1.2616,9275.0324,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8515.0324
1111,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8945,3.1925,0.7752,-0.14,2.0,0.6858,0.1419,14.7266,0.884,-0.3007,5.5627,0.987,-0.0975,8.7202,0.9206,0.1046,0.0,0.0,5659.91,0.0,-0.2917,5659.6183,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4899.6183
1112,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5319,4.1317,0.75,-0.0127,3.6585,0.7303,-0.3353,3.0,0.8936,0.0087,13.0937,0.9514,0.365,5.4219,0.9157,-0.4468,0.0,0.0,7042.122,0.0,-0.4211,7041.7009,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6281.7009
1113,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8739,7.5746,0.7202,-0.1002,10.2511,0.7292,-0.1299,3.4697,0.9335,0.0466,11.7536,1.0,-0.1038,14.4289,0.8976,0.1824,0.0,0.0,9072.082,0.0,-0.1049,9071.9771,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8311.9771
1114,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4214,13.3286,0.743,0.2734,2.0,0.7193,0.1899,9.5932,0.92,-0.0087,10.0644,0.9866,0.0272,4.9492,0.916,-0.1034,0.0,0.0,9280.132,0.0,0.3784,9280.5104,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8520.5104
1115,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.291,10.937,0.7261,-0.0191,2.8626,0.7054,-0.0605,11.1455,0.9325,0.3359,9.944,0.9621,-0.0075,11.2679,0.9287,-0.3166,0.0,0.0,9610.58,0.0,-0.0678,9610.5122,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8850.5122
1116,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9596,11.756,0.6756,-0.1942,11.5933,0.6698,-0.2334,11.5115,0.9228,0.066,4.5411,0.984,0.0476,11.4032,0.9445,0.1848,0.0,0.0,11004.648,0.0,-0.1292,11004.5188,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10244.5188
1117,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5714,14.8274,0.6868,0.1252,13.1104,0.6735,0.1125,13.6539,0.9686,-0.076,18.8589,0.9431,0.1814,10.9605,0.9554,0.2283,0.0,0.0,15797.132,0.0,0.5714,15797.7034,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,15037.7034
1118,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3451,10.5451,0.6977,-0.2073,5.5689,0.6135,-0.6354,7.7023,0.942,0.157,17.3298,0.9239,0.2019,17.1892,0.9326,-0.2561,0.0,0.0,11911.138,0.0,-0.7399,11910.3981,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11150.3981
1119,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2356,8.7653,0.6997,-0.4079,9.2486,0.6683,0.2828,9.7999,0.8648,-0.1194,17.4645,0.9192,0.3352,9.5911,0.9052,0.2572,0.0,0.0,13009.528,0.0,0.3479,13009.8759,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,12249.8759
1120,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4901,9.6906,0.7166,0.1274,15.2226,0.6509,-0.2807,12.4712,0.8463,-0.5511,13.0786,0.9177,-0.0241,11.7462,0.8771,-0.3535,0.0,0.0,15006.238,0.0,-1.082,15005.156,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,14245.156
1121,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1129,8.5397,0.7021,-0.0181,11.0914,0.6104,0.3754,20.1687,0.8857,0.2174,12.8443,0.952,-0.1081,12.202,0.895,0.1926,0.0,0.0,15242.902,0.0,0.6592,15243.5612,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,14483.5612
1122,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1874,13.4611,0.7019,0.0392,12.0428,0.5898,0.1812,18.4842,0.9142,-0.4183,9.8109,0.957,-0.0406,13.7631,0.8939,0.2954,0.0,0.0,15271.212,0.0,0.0569,15271.2689,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,14511.2689
1123,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4547,7.6595,0.7011,0.3441,14.8854,0.6117,-0.0751,20.5694,0.8975,0.3831,13.0712,0.9309,0.3143,7.1342,0.8599,-0.1906,0.0,0.0,13852.786,0.0,0.7758,13853.5618,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,13093.5618
