Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A15780,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A16012,8.774661190965091,0.10885691595059169,8.76,8.58,9.07,8.68,8.85
A16013,8.777588409765,0.10912733707369485,8.77,8.58,9.07,8.68,8.85
A16114,13.21252688172043,0.39912280563523156,13.21,12.31,14.02,12.85,13.58
A16135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A16136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A16430,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A16431,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A16432,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A16433,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A16434,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A16435,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A16436,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A16437,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A16456,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A16457,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A16458,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A16783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A16792,20.812668592239106,4.568997618233149,20.16,13.44,29.4,18.09,25.62
A17683,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A17684,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A17707,10.176444951511694,18.365126477064212,6.06,4.17,100.0,6.06,6.06
A17864,11.980000000000002,0.0,11.98,11.98,11.98,11.98,11.98
A18021,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A18022,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A18248,5.694075794976041,0.023609431019929357,5.7,5.6,5.7,5.7,5.7
A18303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A18596,15.87029549343982,2.433982334824606,15.98,9.6,20.77,14.08,17.92
A18597,15.426820308043352,2.891380797595322,15.87,9.56,20.77,13.53,17.83
A18598,15.416766685681688,2.069968524045157,15.21,8.4,19.63,13.72,17.2
A18599,15.424965202509984,2.104138304588474,15.21,9.45,19.63,13.68,17.25
A19179,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A19180,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A19181,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A19182,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A19218,5.5,0.0,5.5,5.5,5.5,5.5,5.5
A19219,68.64907748369774,22.113101131201145,63.25,27.82,144.87,52.095,83.64
A19260,20.0,0.0,20.0,20.0,20.0,20.0,20.0
A19262,20.0,0.0,20.0,20.0,20.0,20.0,20.0
A19900,15.349999999999998,0.0,15.35,15.35,15.35,15.35,15.35
A3153,8.088978102189781,0.24308810460253527,8.23,7.67,8.23,7.67,8.23
A3165,0.5,0.0,0.5,0.5,0.5,0.5,0.5
A3167,3.212244874048037,1.0533865943278324,3.14,1.0,13.41,2.63,3.66
A3174,15.0,0.0,15.0,15.0,15.0,15.0,15.0
A3175,15.0,0.0,15.0,15.0,15.0,15.0,15.0
A3178,6.0,0.0,6.0,6.0,6.0,6.0,6.0
A3179,6.0,0.0,6.0,6.0,6.0,6.0,6.0
A3180,6.0,0.0,6.0,6.0,6.0,6.0,6.0
A3181,6.0,0.0,6.0,6.0,6.0,6.0,6.0
A3182,21.573649635036496,11.451019769922263,17.85,4.94,50.0,11.27,32.13
A3183,21.573649635036496,11.451019769922263,17.85,4.94,50.0,11.27,32.13
A3184,9.0,0.0,9.0,9.0,9.0,9.0,9.0
A3197,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3198,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3220,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3385,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3386,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3400,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3401,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3402,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3407,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A3408,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A3409,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A3410,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A3411,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A3419,1.3870660411403826,2.298410116196033,0.76,0.76,9.81,0.76,0.76
A3420,1.1814629207795495,1.9071100417602642,0.76,0.76,9.81,0.76,0.76
A3421,0.29,0.0,0.29,0.29,0.29,0.29,0.29
A3446,0.29,0.0,0.29,0.29,0.29,0.29,0.29
A3447,0.29,0.0,0.29,0.29,0.29,0.29,0.29
A3448,0.29,0.0,0.29,0.29,0.29,0.29,0.29
A3449,0.2899999999999999,0.0,0.29,0.29,0.29,0.29,0.29
A3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3455,9.99,0.0,9.99,9.99,9.99,9.99,9.99
A3456,9.99,0.0,9.99,9.99,9.99,9.99,9.99
A3457,10.013686131386862,0.2612491738899288,10.0,10.0,15.0,10.0,10.0
A3458,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3515,4.8,0.0,4.8,4.8,4.8,4.8,4.8
A3518,5.56250890736342,3.766532302091292,3.76,1.56,15.21,3.62,4.8
A3519,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A3520,8.0,0.0,8.0,8.0,8.0,8.0,8.0
