,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded
,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol
Unit Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11876,23.68,6.63076164554269,28.0,15.7,29.0,118.4,37.823641304347824,19.453331164341236,50.0,0.5,63.0,27838.2,37.823641304347824,19.453331164341236,50.0,0.5,63.0,27838.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,63.03336463833647,29.373904871460226,61.0,0.5,177.0,67067.49997519
A11877,26.02,1.0779610382569504,26.0,24.4,27.0,130.1,38.764440433213,18.68926571789637,50.0,0.2,58.0,42951.0,38.764440433213,18.68926571789637,50.0,0.2,58.0,42951.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,62.11615317363031,26.847325394528944,59.0,0.5,180.0,223804.49988459
A11878,26.944444444444443,0.9824855102126345,27.0,26.0,29.0,242.5,37.509812568908494,19.124791841719837,49.0,0.6,62.0,34021.4,37.509812568908494,19.124791841719837,49.0,0.6,62.0,34021.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,61.35697358590738,26.732567257664506,59.0,0.6,180.0,227879.79989806
A11880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.11173049095238,50.94068163661871,19.64999995,0.1,307.0,63906.39990542
A11958,,,,,,,10.440178571428572,5.310636755440754,10.9,0.5,20.0,2338.6,10.440178571428572,5.310636755440754,10.9,0.5,20.0,2338.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.354166658083333,6.2060812622701995,11.6,0.5,28.0,1362.49999897
A12300,,,,,,,9.344894334931627,6.826006203840716,9.4,0.1,22.4,52621.1,9.344894334931627,6.826006203840716,9.4,0.1,22.4,52621.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9.603999986205556,6.946876352420507,9.69999999,0.1,22.3999999,51861.59992551
A12752,26.445487364620938,8.089760673267508,30.5,0.1,33.0,7325.4,46.486666666666665,19.239125604428818,57.75,9.8,66.0,1394.6,46.486666666666665,19.239125604428818,57.75,9.8,66.0,1394.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,39.27801417868794,15.938212961908926,30.5,1.0,66.0,11076.39999839
A13077,,,,,,,8.735220125786164,2.1735674327103816,9.9,0.2,10.0,5555.6,8.735220125786164,2.1735674327103816,9.9,0.2,10.0,5555.6,0.0,0.0,0.0,0.0,0.0,0.0,34.084232026143795,14.363054896648125,45.0,0.3,45.0,125157.3,35.34721136667851,15.249949673777982,45.0,0.2,45.0,99502.3999972
A13379,30.861960784313727,21.56839908238087,26.9,0.2,84.5,15739.6,2.7249999999999996,1.920720350979462,2.8,0.3,5.0,10.899999999999999,2.7249999999999996,1.920720350979462,2.8,0.3,5.0,10.899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,150.0,943350.0,49.595458013600414,17.52143426138404,60.0,0.1,82.7999999,194364.59995530001
A13536,22.814285714285713,5.403751391443641,25.0,7.4,27.0,638.8,23.832,8.488197847759128,29.1,2.0,29.1,1787.4,23.832,8.488197847759128,29.1,2.0,29.1,1787.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,28.8788672315469,12.31236345593226,29.1,1.7,97.0999999,47419.099994200005
