,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded
,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol
Unit Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.130979113904495,17.92657633848799,36.74999995,0.1,60.0,97514.39995185
A16436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.83401687068758,17.418745999180373,34.2999999,0.1,60.0,99067.19995740001
A16437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.400628693911976,17.733397559883787,39.5,0.1,60.0,115666.99995067
A16456,4.649438202247191,1.3411429653560443,5.3,0.2,5.3,413.8,9.803225806451612,1.9793069276841564,10.5,1.4,10.5,303.9,9.803225806451612,1.9793069276841564,10.5,1.4,10.5,303.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.374999999833333,3.0058488181969394,5.8,0.6,10.5,442.49999999
A16457,4.629213483146067,1.4235999699218858,5.3,0.2,5.3,412.0,9.825,1.951012970972573,10.5,1.4,10.5,314.4,9.825,1.951012970972573,10.5,1.4,10.5,314.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.4758064514516125,3.008113917099026,6.05,0.6,10.5,463.49999999
A16458,4.638888888888889,1.410609434350859,5.3,0.2,5.3,417.5,9.803225806451612,1.9793069276841564,10.5,1.4,10.5,303.9,9.803225806451612,1.9793069276841564,10.5,1.4,10.5,303.9,0.0,0.0,0.0,0.0,0.0,0.0,2.9,,2.9,2.9,2.9,2.9,7.374999999833333,3.0058488181969394,5.8,0.6,10.5,442.49999999
A16792,46.3,13.717871555019018,46.3,36.6,56.0,92.6,47.798412698412704,38.75383640556782,36.3,0.3,112.0,3011.3,47.798412698412704,38.75383640556782,36.3,0.3,112.0,3011.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,47.799999977619045,38.75197810539691,36.2999999,0.3,112.0,3011.39999859
A17095,2.8169435215946845,0.35346437589170976,3.0,0.9,3.1,1695.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17683,,,,,,,1.6,,1.6,1.6,1.6,1.6,1.6,,1.6,1.6,1.6,1.6,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.6,,1.6,1.6,1.6,1.6
A17707,11.591402337228715,3.6815557175349793,13.5,0.5,13.5,13886.5,26.576978114478116,2.9312020672583725,27.0,0.3,66.2,63146.9,26.576978114478116,2.9312020672583725,27.0,0.3,66.2,63146.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,73.19045685116751,18.867692293009316,81.0,0.3,81.0,144185.1999968
A17864,0.6995934959349593,0.006375767130633401,0.7,0.6,0.7,172.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18021,2.93921568627451,0.34217519345322805,3.0,0.2,3.0,1499.0,5.652685950413224,1.1194742446338257,6.0,0.1,6.0,2735.9,5.652685950413224,1.1194742446338257,6.0,0.1,6.0,2735.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,15.395557744185588,4.593341330943239,18.0,0.1,18.0,15595.69999486
A18022,0.9995850622406639,0.009109750373485541,1.0,0.8,1.0,481.8,1.9246256239600665,0.2966354124886614,2.0,0.2,2.0,1156.7,1.9246256239600665,0.2966354124886614,2.0,0.2,2.0,1156.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.361020881670534,1.3325803818238597,6.0,0.2,6.0,6931.8
A18248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,9.0,9.0,9.0,36.0
A18277,5.0,0.0,5.0,5.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,5.0,5.0,10.0
A18596,9.50625,1.6337049719835803,10.0,2.3,10.5,304.2,18.49770642201835,4.483306904307067,20.0,0.2,48.5,4032.5,18.49770642201835,4.483306904307067,20.0,0.2,48.5,4032.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,57.383119547255,10.851796915080085,60.0,0.1,145.5,111839.6999976
A18597,9.739285714285714,1.2154375178462937,10.0,5.2,10.5,272.7,19.31526717557252,3.9799781143132784,20.0,0.3,48.5,5060.6,19.31526717557252,3.9799781143132784,20.0,0.3,48.5,5060.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,57.698851123882235,10.827096731507769,60.0,0.2,145.5,120532.89999779
A18598,10.163636363636364,2.8018824840712817,10.5,3.6,15.0,111.8,19.181716417910447,6.965581625388806,21.0,0.5,50.0,5140.7,19.181716417910447,6.965581625388806,21.0,0.5,50.0,5140.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,58.92557334048463,16.18300025983591,66.0,0.3,95.0,136176.99998986
A18599,10.17,1.6898717900085398,11.0,5.7,11.0,101.7,19.544488188976377,6.718574125107463,21.0,0.1,50.0,4964.3,19.544488188976377,6.718574125107463,21.0,0.1,50.0,4964.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,59.51440957463253,15.413948519454154,66.0,0.5,95.0,144143.89998976
A18600,,,,,,,7.674736075718966,4.12332933178028,11.1,2.1,12.0,42165.0,6.53201674554059,5.420507718284955,11.1,0.0,12.0,35886.9,1.1427193301783762,1.5972420576243136,0.0,0.0,5.5,6278.099999999999,,,,,,,,,,,,
A18601,,,,,,,0.46633286318758815,0.10378209321680296,0.5,0.2,0.7,3306.3,0.46633286318758815,0.10378209321680296,0.5,0.2,0.7,3306.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.4793596425912137,0.09562927255453318,0.5,0.3,0.7,3218.9
A18603,,,,,,,1.8,0.0,1.8,1.8,1.8,13501.800000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.8,1.8,1.8,13501.800000000001,,,,,,,,,,,,
A19179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.92814394482814,12.491620194079422,45.0,0.2,45.0,93796.29997556
A19180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.855483301764195,12.51587610195599,45.0,0.2,45.0,87332.59997717
A19181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.70433481746637,12.559519778882791,45.0,0.2,45.0,50448.399985770004
A19182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.090466788671925,12.49019541782283,45.0,0.2,45.0,57935.59998557
A19218,61.345708376421925,23.196303332463973,60.0,0.1,100.0,59321.3,44.8,,44.8,44.8,44.8,44.8,44.8,,44.8,44.8,44.8,44.8,0.0,,0.0,0.0,0.0,0.0,,,,,,,143.96163926539344,155.76664292463963,80.0,0.1,576.0,87816.59995189
A19220,,,,,,,4.251777560339204,2.787157169299831,2.7,2.7,9.4,26071.9,0.0,0.0,0.0,0.0,0.0,0.0,4.251777560339204,2.787157169299831,2.7,2.7,9.4,26071.9,13.0,0.0,13.0,13.0,13.0,4680.0,,,,,,
A19221,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,15.0,15.0,15.0,13260.0,,,,,,
A19260,,,,,,,24.21591928251121,3.4214646226808427,25.0,3.0,25.0,10800.3,24.21591928251121,3.4214646226808427,25.0,3.0,25.0,10800.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,59.38105262655263,23.26291871211424,75.0,3.0,75.0,22564.79999809
A19262,10.0,,10.0,10.0,10.0,10.0,19.358149779735683,2.687533498252128,20.0,0.7,20.0,8788.6,19.358149779735683,2.687533498252128,20.0,0.7,20.0,8788.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,50.220792075,17.268184244272973,60.0,0.7,60.0,20289.1999983
A19546,,,,,,,1.021311475409836,0.05615563544914973,1.0,1.0,1.2,2990.4,0.0,0.0,0.0,0.0,0.0,0.0,1.021311475409836,0.05615563544914973,1.0,1.0,1.2,2990.4,3.0,0.0,3.0,3.0,3.0,1530.0,,,,,,
A19547,,,,,,,1.0764172922599016,0.09360938835397618,1.0,1.0,1.2,4158.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0764172922599016,0.09360938835397618,1.0,1.0,1.2,4158.2,20.0,0.0,20.0,20.0,20.0,10200.0,,,,,,
A19548,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.0,50.0,50.0,50.0,25500.0,,,,,,
A19893,,,,,,,5.5,0.0,5.5,5.5,5.5,3553.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,5.5,5.5,5.5,3553.0,,,,,,,,,,,,
A19894,1.8795,0.1443395981634627,1.9,1.3,2.0,375.9,0.14193548387096774,0.0501610310127101,0.1,0.1,0.2,4.4,0.14193548387096774,0.0501610310127101,0.1,0.1,0.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
A19895,1.812448132780083,0.33908679858047885,1.9,0.1,2.0,873.6,0.18888888888888888,0.3771236166328253,0.1,0.1,1.7,3.4,0.18888888888888888,0.3771236166328253,0.1,0.1,1.7,3.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
A19907,1.6873065015479876,0.5466952000794382,1.9,0.1,2.0,545.0,0.15789473684210525,0.05003554924018234,0.2,0.1,0.2,6.0,0.15789473684210525,0.05003554924018234,0.2,0.1,0.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
A19911,0.5499999999999999,0.16431676725154978,0.55,0.4,0.7,3.3,2.923076923076923,0.5214624405679443,3.3,2.1,3.5,38.0,2.923076923076923,0.5214624405679443,3.3,2.1,3.5,38.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
A19912,,,,,,,1.1863541666666668,0.27368271968952773,1.0,1.0,1.8,1138.9,0.0,0.0,0.0,0.0,0.0,0.0,1.1863541666666668,0.27368271968952773,1.0,1.0,1.8,1138.9,,,,,,,,,,,,
A20261,,,,,,,1.0,0.0,1.0,1.0,1.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,144.0,,,,,,,,,,,,
A20263,,,,,,,11.785580524344569,1.5618571293104757,12.0,5.5,13.5,6293.5,11.785580524344569,1.5618571293104757,12.0,5.5,13.5,6293.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
A20264,,,,,,,3.1,0.0,3.1,3.1,3.1,148.8,3.1,0.0,3.1,3.1,3.1,148.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.1000000000000005,0.0,3.1,3.1,3.1,145.70000000000002
A3153,10.311392405063291,1.6791318988655213,10.5,1.8,12.5,814.6,21.976720475785896,2.363106118669301,21.0,2.3,26.0,25866.6,21.976720475785896,2.363106118669301,21.0,2.3,26.0,25866.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,46.32669206623451,14.6495913637125,50.6,2.4,75.0,48596.69997748
A3165,19.562898188632104,8.130524896662767,15.0,0.2,30.0,31320.2,26.57272727272727,13.33584460696867,25.0,0.2,60.0,9645.9,26.57272727272727,13.33584460696867,25.0,0.2,60.0,9645.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,30.056015029454887,20.660766003171364,25.0,0.1,108.0,15989.79999567
A3167,66.68003369839933,15.889718928323527,61.2,5.3,100.0,79149.2,85.57470731707316,38.26874284559631,70.0,0.3,200.0,350856.3,85.57470731707316,38.26874284559631,70.0,0.3,200.0,350856.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,95.98714205553786,50.387049956146555,70.2999999,0.3,471.199999,415816.29938459
A3174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.08142857,10.595455696916082,45.0,1.3,60.0,5891.3999998
A3175,10.0,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,40.22727272727273,16.51180971728599,45.0,5.0,60.0,2655.0
A3182,,,,,,,35.05,9.121677477306465,35.05,28.6,41.5,70.1,35.05,9.121677477306465,35.05,28.6,41.5,70.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,23.3999999,0.0,23.3999999,23.3999999,23.3999999,70.1999997
A3183,5.4,,5.4,5.4,5.4,5.4,32.95,9.929585422698507,33.6,23.1,41.5,131.8,32.95,9.929585422698507,33.6,23.1,41.5,131.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,23.1,0.0,23.1,23.1,23.1,92.4
A3184,5.889473684210526,4.691964415379552,4.5,0.1,18.0,335.7,,,,,,,,,,,,,,,,,,,,,,,,,9.271428571071429,9.34403581387926,6.55,0.8,37.0,259.59999999
A3197,4.885,0.5943909303099114,5.0,0.3,5.0,2540.2,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,
A3385,4.924077328646749,0.4168969470172307,5.0,0.3,5.0,2801.8,8.558657243816254,2.624196121255196,10.0,0.2,10.0,2422.1,8.558657243816254,2.624196121255196,10.0,0.2,10.0,2422.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12.203601102686982,8.18614433815583,10.0,0.2,30.0,4405.49999807
A3386,4.91864406779661,0.5624682600305446,5.0,0.7,5.0,290.2,9.319444444444445,1.947426058665195,10.0,1.3,10.0,335.5,9.319444444444445,1.947426058665195,10.0,1.3,10.0,335.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,16.338461536538464,11.025072208514384,14.59999995,1.3,30.0,849.5999999000001
A3411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00983606557377,4.069918300491743,30.0,5.9,30.0,1769.6
A3419,5.974838928450322,0.2719053384114649,6.0,1.0,6.0,17619.8,11.84978287841191,1.0046339804589517,12.0,0.1,12.0,38203.7,11.84978287841191,1.0046339804589517,12.0,0.1,12.0,38203.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,33.338443553273216,7.777505003870509,36.0,0.8,36.0,99815.2999985
A3420,5.982212109220419,0.2705152154991062,6.0,0.1,10.1,30234.1,11.927793480309026,0.7555985864414673,12.0,0.1,25.2,63300.8,11.927793480309026,0.7555985864414673,12.0,0.1,25.2,63300.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,33.24046520908161,7.59189502487295,36.0,0.1,60.5,165770.19999769
A3421,15.0,3.5355339059327378,15.0,12.5,17.5,30.0,,,,,,,,,,,,,,,,,,,43.73846153846154,11.978072915508186,50.0,19.3,50.0,568.6,66.5999999875,35.98265455338963,90.0,8.5,90.0,532.7999999
A3446,10.881818181818183,3.661917033964091,9.7,5.6,17.5,119.7,,,,,,,,,,,,,,,,,,,,,,,,,10.8249999975,2.8194266569936994,9.749999995,8.8,15.0,43.29999999
A3447,11.62857142857143,4.2660341793107595,9.7,5.8,17.5,81.4,,,,,,,,,,,,,,,,,,,,,,,,,12.359999998000001,4.061157472113091,9.8,8.8,17.5,61.79999999
A3448,10.441666666666666,3.945643934848412,9.6,5.7,17.5,125.3,,,,,,,,,,,,,,,,,,,,,,,,,11.025,3.343027569933178,9.65,8.8,16.0,44.1
A3449,10.258333333333333,3.8549751404300046,9.3,5.6,17.5,123.1,,,,,,,,,,,,,,,,,,,,,,,,,10.5999999975,2.9439202903611363,9.299999995,8.8,15.0,42.39999999
A3455,4.747142857142857,0.8832944637723306,5.0,0.7,5.0,332.3,9.878891115564462,0.8780798647864109,10.0,0.1,10.0,44366.1,9.878891115564462,0.8780798647864109,10.0,0.1,10.0,44366.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,27.579219744422772,6.389105028809575,30.0,0.4,30.0,138557.99999598
A3456,4.854411764705882,0.727382102777911,5.0,0.2,5.0,330.1,9.893503220386446,0.8355828363425071,10.0,0.2,11.2,35329.7,9.893503220386446,0.8355828363425071,10.0,0.2,11.2,35329.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,27.718114327240784,6.27647765880065,30.0,0.2,37.5,112008.89999638
A3457,10.091123439667129,1.7064840356440933,10.5,0.1,10.5,7275.7,20.252507573207673,3.243184452580697,21.0,0.2,21.0,60170.2,20.252507573207673,3.243184452580697,21.0,0.2,21.0,60170.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,59.94885280471232,10.661824382973485,63.0,0.5,63.0,339670.1999915
A3458,9.949712643678161,1.8822774016866364,10.5,0.1,10.5,3462.5,20.108490110950314,3.6080890041136455,21.0,0.5,21.0,41684.9,20.108490110950314,3.6080890041136455,21.0,0.5,21.0,41684.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,60.899598929322636,9.334488073405034,63.0,1.0,63.0,273317.3999948
A3518,18.383157894736843,6.9950799433666795,20.5,0.4,25.0,3492.8,12.064285714285715,5.611198575219865,10.850000000000001,2.1,19.5,168.9,12.064285714285715,5.611198575219865,10.850000000000001,2.1,19.5,168.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,16.070833320833334,10.919526952558199,13.64999995,2.1,44.0,385.69999970000003
A3566,14.5307632999229,2.081892565570567,15.0,0.1,15.0,18846.4,27.788208616780047,6.503377047262342,30.0,0.1,30.0,24509.2,27.788208616780047,6.503377047262342,30.0,0.1,30.0,24509.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,76.66682926364878,26.348551596712895,90.0,0.2,90.0,157166.99999048
A3588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.496178343949044,3.227364673726896,19.0,1.2,19.0,2746.9
A3589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.809848484090907,3.8232287201397286,19.0,0.4,19.0,2218.8999999
A3590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.602105263157895,3.261150395749238,18.0,1.7,18.0,1482.2
A3601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6516129,6.510292922608937,3.5,0.8,37.0,175.1999999
A3606,9.898399409012558,0.9996821657663879,10.0,0.3,23.4,40197.4,19.475870253164558,2.8074176405617357,20.0,0.2,46.8,73852.5,19.475870253164558,2.8074176405617357,20.0,0.2,46.8,73852.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,50.07311709379879,17.780708710619173,60.0,0.2,95.0,182165.99998724
A3607,9.743243243243244,1.6028673778176508,10.0,0.2,23.4,32445.0,19.433653490949393,3.2977922785414204,20.0,0.1,46.8,52606.9,19.433653490949393,3.2977922785414204,20.0,0.1,46.8,52606.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,48.6742287408766,19.73963651675741,60.0,0.1,140.5,129376.09999325
A3608,9.955904,0.6459574802765449,10.0,0.1,25.1,31112.2,19.697444444444443,2.151483661088287,20.0,0.1,50.2,53183.1,19.697444444444443,2.151483661088287,20.0,0.1,50.2,53183.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,51.19958801313857,17.54500341685328,60.0,0.4,135.0,136702.89999508
A3609,9.823174193548388,1.1111788190678935,10.0,0.1,10.0,38064.8,19.51482640865111,2.51083944147303,20.0,0.1,20.0,68575.1,19.51482640865111,2.51083944147303,20.0,0.1,20.0,68575.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,51.27060569826901,17.055643228108686,60.0,0.1,60.0,172679.39999177
A3610,7.3726381704328885,0.7855344086827377,7.5,0.2,7.5,27079.7,14.299217221135029,2.524130727330902,15.0,0.2,15.0,43841.4,14.299217221135029,2.524130727330902,15.0,0.2,15.0,43841.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,33.361659596405204,16.00203984218943,45.0,0.2,45.0,110160.19998733
A3615,,,,,,,,,,,,,,,,,,,,,,,,,20.614135290363752,4.783972330240544,19.8,0.2,27.6,64604.7,20.84937372593276,3.4700510219752463,20.3,0.4,27.5,63256.99988448
A3624,2.6,1.2727922061357857,2.6,1.7,3.5,5.2,11.43125,6.99358932642364,11.7,0.9,20.8,182.9,11.43125,6.99358932642364,11.7,0.9,20.8,182.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,47.566666651851854,27.623882197020073,55.0,1.5,97.2,2568.5999992
A3625,1.95,1.9091883092036783,1.95,0.6,3.3,3.9,14.657142857142857,8.04318700160932,18.4,0.6,20.8,102.6,14.657142857142857,8.04318700160932,18.4,0.6,20.8,102.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,51.46999999,20.3603334726708,55.0,0.6,91.7999999,2058.7999996
A3626,4.8999999999999995,5.373081052803875,2.0,1.6,11.1,14.7,18.8,4.293716339023806,20.8,10.1,20.8,112.8,18.8,4.293716339023806,20.8,10.1,20.8,112.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,72.0903552984264,22.866816211966704,77.2,0.7,98.0,14201.79999379
A3627,5.2250000000000005,4.087684756273002,5.95,0.2,8.8,20.900000000000002,17.3125,5.328209964760345,20.15,8.0,20.8,138.5,17.3125,5.328209964760345,20.15,8.0,20.8,138.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,67.1406593065934,23.60217492962405,75.7999999,6.9,98.0,6109.7999969
A3628,,,,,,,6.9,,6.9,6.9,6.9,6.9,6.9,,6.9,6.9,6.9,6.9,0.0,,0.0,0.0,0.0,0.0,,,,,,,76.27453983650307,18.236897390655727,83.2999999,1.8,98.0,24865.4999867
A3629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.43597557189025,20.80509282938691,76.9,0.8,98.0,11715.499993790001
A3630,,,,,,,,,,,,,,,,,,,,,,,,,19.58399291199055,4.379401644506742,19.2,0.2,27.0,66311.4,20.07907797050532,2.6965814389165392,20.1,1.0,26.1999999,67947.59985219
A3635,11.166666666666666,7.198842499550419,9.0,5.3,19.2,33.5,15.86,13.694216135126377,14.65,1.2,50.6,158.6,15.86,13.694216135126377,14.65,1.2,50.6,158.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,68.09729726486486,42.11767560826295,80.0,0.3,175.0,2519.5999988
A3636,13.014285714285714,13.072034854531841,8.1,1.0,37.5,91.1,11.125,12.393978952931713,6.3,1.4,32.9,89.0,11.125,12.393978952931713,6.3,1.4,32.9,89.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,75.28421045263157,57.365596217543604,80.0,1.4,175.0,2860.7999972
A3637,9.933333333333334,6.1656035119578245,11.75,0.2,15.0,59.6,20.525,10.868006782688875,23.0,2.8,30.0,164.2,20.525,10.868006782688875,23.0,2.8,30.0,164.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,73.56098725570064,19.276908298411612,80.0,0.7,110.0,46196.29999658
A3639,,,,,,,57.561209921355115,5.827290876715938,57.1,0.7,65.9,475743.4,57.561209921355115,5.827290876715938,57.1,0.7,65.9,475743.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,57.81321878866285,5.255796271046072,57.6,1.5,65.9,454411.89967889
A3644,17.288059701492536,1.7289679122302166,17.5,2.9,17.5,2316.6,32.691489361702125,7.118433810009968,35.0,1.9,35.0,1536.5,32.691489361702125,7.118433810009968,35.0,1.9,35.0,1536.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,95.92076922884615,24.363119154190656,105.0,1.0,105.0,24939.3999995
A3645,2.5,,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,40.0,40.0,40.0,40.0
A3646,11.833333333333334,5.484827557301444,15.0,5.5,15.0,35.5,21.53333333333333,14.664696837416496,30.0,4.6,30.0,64.6,21.53333333333333,14.664696837416496,30.0,4.6,30.0,64.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
A3647,13.4,3.5777087639996634,15.0,7.0,15.0,67.0,22.525,10.849078301865095,26.55,7.0,30.0,90.1,22.525,10.849078301865095,26.55,7.0,30.0,90.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
A3651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.132167830104898,4.313596059719407,18.0,0.1,18.0,41524.19999469
A3652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.29632330439684,4.1494484760190415,18.0,0.2,18.0,53631.19999477
A3653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.28554686848959,23.957479984205793,90.0,0.5,90.0,60123.299995
A3654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.188461537403846,14.417332527909814,11.3,0.1,37.0,1787.59999989
A3655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.483116882987014,12.008521125907414,6.4,0.1,37.0,884.19999999
A3656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85781249375,4.866627665982428,3.25,0.1,20.6999999,310.8999996
A3657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,7.0,7.0,7.0,7.0
A3666,9.571428571428571,2.620886800120833,10.0,4.0,12.5,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3667,10.3,1.182159041753689,10.0,8.2,12.5,92.7,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,11.5,11.5,11.5,11.5
A3668,10.45,0.8644201653259957,10.0,10.0,12.5,104.5,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,11.5,11.5,11.5,11.5
A3669,10.114285714285714,1.3692194509142441,10.0,7.8,12.5,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3670,9.425,3.5640065736671778,10.0,0.9,12.5,75.4,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,11.5,11.5,11.5,11.5
A3671,10.5,0.9999999999999999,10.0,10.0,12.5,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3674,6.049400479616307,2.4965371931976104,7.5,0.2,9.0,2522.6,17.8,0.774596669241483,18.0,15.0,18.0,267.0,17.8,0.774596669241483,18.0,15.0,18.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34,8.445945772972971,25.0,1.0,25.0,320.1,7.790217391195653,5.082479490027109,7.5,0.2,40.0,1433.39999998
A3675,7.656997971602435,2.627763105188089,9.0,0.2,10.0,3774.9,18.9375,0.24999999999999994,19.0,18.0,19.0,303.0,18.9375,0.24999999999999994,19.0,18.0,19.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,23.736842105263158,5.505977612893482,25.0,1.0,25.0,451.0,9.03263157868421,5.919887423963485,9.5,0.2,44.0,1716.19999995
A3676,7.3701171875,2.6576599012333726,9.0,0.1,9.5,3773.5,19.0,,19.0,19.0,19.0,19.0,19.0,,19.0,19.0,19.0,19.0,0.0,,0.0,0.0,0.0,0.0,24.13888888888889,2.232945532616948,25.0,18.1,25.0,434.5,7.610526315614035,4.786476693005366,7.5,0.1,44.0,1301.39999997
A3714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.036551722689655,4.271624945850217,5.1,0.1,12.0,875.29999979
A3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.74730746803127,7.491878376656181,30.0,0.3,30.0,46192.59999729
A3727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,0.0,3.5,3.5,3.5,224.0
