,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal
,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol
Unit Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11256,25.340595414623017,2.5758731143354496,25.0,21.0,30.5,222161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
A11271,96.33822284908322,5.555378085174223,97.0,20.0,102.1,751341.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,87670.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11272,95.4237409065473,7.1626729864375145,97.0,2.5,102.1,682088.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,87670.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11273,95.36076096803416,3.904629011176943,95.6,19.7,100.6,736852.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,87670.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11274,95.3931703082043,2.7541731955537347,95.6,24.7,100.6,659262.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,87670.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11304,472.9517508839968,44.19051967903375,479.0,220.0,511.0,4146368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.416557545340481,0.9296851372034689,7.4,4.8,10.02,65020.96,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11312,440.5592563020418,49.80867909928169,455.0,135.0,468.0,3862383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8018090566898595,0.02572717997154013,4.8,4.8,5.24,42097.46,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11313,208.05840082126156,23.53753440265734,215.0,64.0,221.0,1824048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.801813619254021,0.02576762072151516,4.8,4.8,5.24,42097.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11314,403.9300787042318,45.6733885676783,417.0,124.0,429.0,3541255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.801387019504962,0.02388831971300819,4.8,4.8,5.24,42093.76,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11315,171.30238393977416,19.384815980485005,177.0,52.0,182.0,1501808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8018090566898595,0.025725406266861938,4.8,4.8,5.24,42097.46,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11316,460.5180791604882,106.75223022944807,510.0,220.0,510.0,4037362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14176229040721,2.0624209129013322,7.38,6.12,14.74,71378.83,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11318,638.6278088285617,124.16531750536356,706.0,215.0,706.0,5598850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.195149994296795,1.4875701966176629,6.62,4.8,14.92,63079.88,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11319,481.23896429793547,19.539678562008703,488.0,300.0,527.0,4219022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.590118626668187,0.9082810819970818,7.5,5.76,10.12,66542.56999999999,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A11550,42.92129576822174,0.6223913462735274,43.0,38.0,43.0,376291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44534048135051896,0.42568396717680307,0.1,0.1,0.97,3904.2999999999997,0.0,0.0,0.0,0.0,0.0,0.0,20.413640537128426,25.91121828347973,0.05,0.05,100.0,177864.05
