Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A15484,4.690165411818389,0.6527808835544683,4.67,2.4,6.26,4.15,5.27
A15485,4.22408281998631,0.5448055149852276,4.17,2.4,5.44,3.75,4.74
A15508,60.0895014830025,20.80026345142703,55.12,25.28,100.0,43.4525,73.73
A15509,60.0895014830025,20.80026345142703,55.12,25.28,100.0,43.4525,73.73
A15780,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A16012,5.709275610312572,1.185583265013532,5.45,3.81,8.87,4.75,6.5675
A16013,14.611720282911248,6.677512594555174,16.17,3.91,26.78,4.942500000000001,19.44
A16114,4.979699977184577,0.05307746648950005,4.98,4.8,5.18,4.93,5.02
A16135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A16136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A16430,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A16431,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A16432,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A16433,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A16434,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A16435,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A16436,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A16437,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A16456,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A16457,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A16458,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A16783,0.02711841204654346,0.08201387822973215,0.01,0.01,0.42,0.01,0.01
A16792,0.22241273100616019,0.052412065535675574,0.2,0.18,0.35,0.19,0.22
A17683,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A17684,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A17707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A18021,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A18022,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A18248,11.274304620650314,0.023070167269735802,11.28,11.09,11.28,11.28,11.28
A18303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A18596,4.033584711922419,0.5983671841968085,4.07,2.4,5.19,3.64,4.52
A18597,3.8966719908727896,0.7487670698059941,4.03,2.4,5.19,3.49,4.48
A18598,3.9663776383342846,0.4807188452429741,3.93,2.4,4.95,3.54,4.38
A18599,3.970816885339418,0.4881873615150804,3.93,2.4,4.95,3.54,4.41
A19179,0.75,0.0,0.75,0.75,0.75,0.75,0.75
A19180,0.75,0.0,0.75,0.75,0.75,0.75,0.75
A19181,0.75,0.0,0.75,0.75,0.75,0.75,0.75
A19182,0.75,0.0,0.75,0.75,0.75,0.75,0.75
A19218,3.1639230875639783,1.6265451187759992,4.0,0.0,4.0,4.0,4.0
A19219,67.40862869198313,19.70240606759285,63.25,27.82,100.0,52.095,83.64
A19260,0.22000000000000003,0.0,0.22,0.22,0.22,0.22,0.22
A19262,0.22000000000000003,0.0,0.22,0.22,0.22,0.22,0.22
A19900,5.799999999999999,0.0,5.8,5.8,5.8,5.8,5.8
A3153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3165,0.17,0.0,0.17,0.17,0.17,0.17,0.17
A3167,0.5665796076642337,0.6175312932882348,0.53,0.1,9.99,0.42,0.64
A3174,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3175,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3178,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3179,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3180,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3181,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3182,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3183,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3184,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3197,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3198,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3220,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3385,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3386,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3400,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A3401,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A3402,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A3407,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3408,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3409,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3410,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3411,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3419,0.32,0.0,0.32,0.32,0.32,0.32,0.32
A3420,0.32,0.0,0.32,0.32,0.32,0.32,0.32
A3421,0.42,0.0,0.42,0.42,0.42,0.42,0.42
A3446,0.17,0.0,0.17,0.17,0.17,0.17,0.17
A3447,0.17,0.0,0.17,0.17,0.17,0.17,0.17
A3448,0.17,0.0,0.17,0.17,0.17,0.17,0.17
A3449,0.17,0.0,0.17,0.17,0.17,0.17,0.17
A3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3455,1.0437750912408759,0.3427999905501026,1.05,0.1,8.25,1.0,1.08
A3456,1.1282880930656933,0.5088613873323868,1.09,0.1,9.99,1.0,1.16
A3457,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3458,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3515,0.01,0.0,0.01,0.01,0.01,0.01,0.01
A3518,1.3040031934306568,1.9293233981666196,0.65,0.1,6.92,0.51,0.87
A3519,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A3520,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A3566,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3576,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3601,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3606,0.32,0.0,0.32,0.32,0.32,0.32,0.32
A3607,0.32,0.0,0.32,0.32,0.32,0.32,0.32
A3608,0.32,0.0,0.32,0.32,0.32,0.32,0.32
A3609,0.32,0.0,0.32,0.32,0.32,0.32,0.32
A3610,0.32,0.0,0.32,0.32,0.32,0.32,0.32
A3611,4.2,0.0,4.2,4.2,4.2,4.2,4.2
A3615,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3624,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3625,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3626,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3627,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3628,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3629,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3630,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3635,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3636,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3637,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3639,0.55,0.0,0.55,0.55,0.55,0.55,0.55
A3644,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3645,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A3646,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A3647,2.0,0.0,2.0,2.0,2.0,2.0,2.0
A3651,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3652,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3653,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3654,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3655,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3656,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3657,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3666,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3667,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3668,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3669,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3670,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3671,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A3674,0.22,0.0,0.22,0.22,0.22,0.22,0.22
A3675,0.22,0.0,0.22,0.22,0.22,0.22,0.22
A3676,0.22,0.0,0.22,0.22,0.22,0.22,0.22
A3681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3695,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3721,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3730,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3731,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3736,0.22,0.0,0.22,0.22,0.22,0.22,0.22
A3737,0.22372947080291972,0.018949382079226244,0.22,0.22,0.32,0.22,0.22
A3738,0.22,0.0,0.22,0.22,0.22,0.22,0.22
A3739,0.22,0.0,0.22,0.22,0.22,0.22,0.22
A3740,0.22,0.0,0.22,0.22,0.22,0.22,0.22
A3741,0.22,0.0,0.22,0.22,0.22,0.22,0.22
A3742,0.22,0.0,0.22,0.22,0.22,0.22,0.22
A3743,0.22,0.0,0.22,0.22,0.22,0.22,0.22
A3747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3754,10.751824817518248,2.903174373747559,12.0,4.0,12.0,12.0,12.0
A3755,8.141879562043796,1.9959323819514523,9.0,3.5,9.0,9.0,9.0
A3756,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A3757,3.67,0.0,3.67,3.67,3.67,3.67,3.67
A3758,2.9799999999999995,0.0,2.98,2.98,2.98,2.98,2.98
A3759,15.922445255474452,1.9015792148046624,16.74,11.5,16.74,16.74,16.74
A3763,0.5,0.0,0.5,0.5,0.5,0.5,0.5
A3764,0.5,0.0,0.5,0.5,0.5,0.5,0.5
A3787,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3788,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3789,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3790,4.0,0.0,4.0,4.0,4.0,4.0,4.0
A3791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3797,2.8833333333333333,1.933429981688792,4.25,0.15,4.25,0.15,4.25
A3798,2.8833333333333333,1.933429981688792,4.25,0.15,4.25,0.15,4.25
A3799,2.8827098540145983,1.9330890939574437,4.25,0.15,4.25,0.15,4.25
A3802,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A3803,0.15,0.0,0.15,0.15,0.15,0.15,0.15
A3804,0.15,0.0,0.15,0.15,0.15,0.15,0.15
A3805,0.15,0.0,0.15,0.15,0.15,0.15,0.15
A3806,0.15,0.0,0.15,0.15,0.15,0.15,0.15
A3807,3.1660583941605838,1.885940579470677,4.5,0.5,4.5,0.5,4.5
A3808,3.1660583941605838,1.885940579470677,4.5,0.5,4.5,0.5,4.5
A3822,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A3825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3830,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3840,0.5169936131386861,0.4997396324074549,1.0,0.0,1.0,0.0,1.0
A3852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3854,0.5857664233576643,0.4926172932496895,1.0,0.0,1.0,0.0,1.0
