HourOfYear,Electrolyzer_Capacity_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pIES_MW,H2_Storage_Level_kg,H2_to_Market_kg_hr,H2_from_Storage_kg_hr,H2_net_to_Storage_kg_hr,"Electrolyzer_Status (0=off, 1=on)","Electrolyzer_Startup (0=no, 1=yes)","Electrolyzer_Shutdown (0=no, 1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,RegUp_Turbine_MW,RegDown_Turbine_MW,SR_Turbine_MW,NSR_Turbine_MW,RegUp_Electrolyzer_MW,RegDown_Electrolyzer_MW,SR_Electrolyzer_MW,NSR_Electrolyzer_MW,ThirtyMin_Turbine_MW,ThirtyMin_Electrolyzer_MW,Total_RegUp_MW,Total_RegDown_MW,Total_SR_MW,Total_NSR_MW,Total_30Min_MW,EnergyPrice_LMP_USDperMWh,p_Reg_MISO,deploy_factor_Reg_MISO,loc_Reg_MISO,p_Spin_MISO,deploy_factor_Spin_MISO,loc_Spin_MISO,p_Sup_MISO,deploy_factor_Sup_MISO,loc_Sup_MISO,p_STR_MISO,deploy_factor_STR_MISO,loc_STR_MISO,Deployed_Up_Reserves_MW,Deployed_Down_Reserves_MW,Revenue_Energy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
655,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8268,12.4161,0.7679,-0.1033,12.873,0.8451,-0.0529,12.3305,0.9114,-0.0039,7.3321,0.903,-0.0615,0.0,0.0,9814.184,0.0,-0.2216,9813.9624,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9053.9624
656,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8502,9.4228,0.7541,0.409,5.6787,0.8766,0.127,3.8144,0.9066,-0.1811,8.5686,0.8827,0.1024,0.0,0.0,5643.076,0.0,0.4573,5643.5333,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4883.5333
657,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6997,6.5986,0.7739,-0.0985,7.8204,0.8687,-0.0639,6.7986,0.9195,-0.2378,5.2013,0.8817,0.1191,0.0,0.0,6345.886,0.0,-0.2811,6345.6049,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5585.6049
658,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9261,6.7645,0.7647,-0.2835,11.0757,0.9054,0.2838,6.1889,0.8743,0.2968,7.8719,0.8639,0.0409,0.0,0.0,7191.918,0.0,0.338,7192.256,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6432.256
659,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6302,12.5463,0.7528,-0.0567,11.9887,0.9508,-0.3298,3.0,0.867,0.4433,7.5937,0.8278,0.3594,0.0,0.0,8599.476,0.0,0.4162,8599.8922,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7839.8922
660,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5111,8.4069,0.7816,0.0635,10.587,0.9572,0.0251,4.0567,0.8867,0.4328,3.2614,0.8805,-0.3748,0.0,0.0,8934.218,0.0,0.1466,8934.3646,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8174.3646
661,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7813,10.3548,0.7661,-0.2947,13.2847,0.9529,0.1411,12.0552,0.9049,0.1203,10.9949,0.9153,0.3977,0.0,0.0,9036.894,0.0,0.3644,9037.2584,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8277.2584
662,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9913,7.2148,0.7572,-0.0768,8.4199,0.9204,0.0263,9.431,0.9232,-0.1638,3.9095,0.9041,-0.1003,0.0,0.0,9876.694,0.0,-0.3146,9876.3794,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9116.3794
663,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1559,8.2723,0.7213,-0.31,3.2961,0.8785,-0.2717,9.2968,0.9349,-0.2566,10.0081,0.907,-0.0462,0.0,0.0,11459.242,0.0,-0.8845,11458.3575,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10698.3575
664,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6065,10.8123,0.7178,0.1758,5.3058,0.8587,0.2283,10.7802,0.9119,0.0313,16.5034,0.9125,0.3114,0.0,0.0,10870.47,0.0,0.7468,10871.2168,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10111.2168
665,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.105,6.972,0.6245,-0.0444,7.5849,0.9132,-0.3544,10.4888,0.916,0.1543,9.4512,0.857,-0.0554,0.0,0.0,10679.9,0.0,-0.2999,10679.6001,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9919.6001
666,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8656,10.0572,0.6268,-0.5965,3.0,0.9051,-0.2229,13.2662,0.9121,-0.0302,9.9362,0.8261,0.4596,0.0,0.0,12108.928,0.0,-0.39,12108.538,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11348.538
667,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0645,7.1556,0.6541,0.2595,4.6817,0.9358,-0.0036,14.1166,0.9255,-0.2565,3.0,0.9334,0.2411,0.0,0.0,11044.51,0.0,0.2405,11044.7505,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10284.7505
668,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2751,10.903,0.6594,-0.2926,6.6601,0.8609,0.1293,8.5848,0.9081,-0.1365,17.5753,0.9503,0.0893,0.0,0.0,13784.538,0.0,-0.2105,13784.3275,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,13024.3275
669,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4342,5.5176,0.6612,0.6667,3.0,0.8502,-0.2132,8.3722,0.8753,0.1662,7.4765,0.894,0.2809,0.0,0.0,5104.996,0.0,0.9006,5105.8966,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4345.8966
670,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7397,13.3554,0.6888,-0.1709,3.0,0.8329,-0.4084,7.2909,0.9538,0.0792,20.0511,0.8609,0.0924,0.0,0.0,11301.086,0.0,-0.4077,11300.6783,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10540.6783
671,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9294,8.6323,0.7435,-0.1446,17.4623,0.8448,0.1063,3.0,0.9217,0.3206,3.0,0.8701,-0.0119,0.0,0.0,10613.172,0.0,0.2704,10613.4424,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9853.4424
672,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7488,8.8111,0.7205,0.0401,9.6168,0.886,-0.4441,8.5896,0.9015,0.3725,5.1824,0.8702,-0.3701,0.0,0.0,3324.544,0.0,-0.4016,3324.1424,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2564.1424
673,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9955,7.4479,0.7448,-0.6036,5.8426,0.9264,0.0757,4.5714,0.8714,0.6748,7.365,0.9013,0.0546,0.0,0.0,5698.29,0.0,0.2015,5698.4915,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4938.4915
674,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7857,6.0251,0.7342,0.1101,7.2799,0.9069,0.0976,5.1649,0.8671,-0.1156,9.1488,0.9687,-0.0345,0.0,0.0,4858.566,0.0,0.0576,4858.6236,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4098.6236
675,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0211,8.0379,0.7441,0.1753,3.482,0.9329,0.4066,3.0,0.8503,0.2339,3.0,0.9834,0.2126,0.0,0.0,2288.018,0.0,1.0284,2289.0464,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,1529.0464
676,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1756,9.7021,0.8013,0.2266,3.8368,0.9246,0.1432,5.1687,0.8503,-0.251,3.0,0.9245,0.1063,0.0,0.0,3106.728,0.0,0.2251,3106.9531,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2346.9531
677,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1761,3.0,0.8098,0.0702,9.0059,0.906,-0.1291,3.0,0.8531,0.0918,6.1553,0.9312,0.0005,0.0,0.0,2346.918,0.0,0.0334,2346.9514,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,1586.9514
678,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8361,8.4112,0.8273,0.0228,9.1376,0.9245,0.0483,11.6924,0.8557,-0.0086,6.8765,0.9002,-0.0162,0.0,0.0,7917.718,0.0,0.0463,7917.7643,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7157.7643
679,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7571,7.5055,0.7855,-0.3794,3.0854,0.9021,0.2274,10.8376,0.8325,0.0062,13.5388,0.9087,0.2111,0.0,0.0,6747.698,0.0,0.0653,6747.7633,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5987.7633
680,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0307,8.6275,0.7636,0.1233,13.2564,0.9059,0.0823,9.9346,0.859,0.1021,10.2505,0.905,-0.1454,0.0,0.0,7991.666,0.0,0.1623,7991.8283,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7231.8283
681,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3574,11.4204,0.7135,-0.0105,9.9569,0.8755,-0.029,9.9612,0.8795,-0.2642,8.6299,0.9184,-0.1341,0.0,0.0,7735.812,0.0,-0.4378,7735.3742,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6975.3742
682,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5207,9.3928,0.6903,-0.1068,10.5041,0.8404,0.3194,7.5809,0.8964,-0.4262,6.9194,0.9165,0.4504,0.0,0.0,5137.866,0.0,0.2368,5138.1028,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4378.1028
683,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1366,10.8053,0.6992,-0.2582,8.6669,0.8533,-0.2655,4.1448,0.9034,-0.1302,11.4655,0.8916,0.2206,0.0,0.0,7271.908,0.0,-0.4333,7271.4747,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6511.4747
684,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7993,9.3377,0.6762,0.12,9.7179,0.8416,-0.3784,7.5686,0.9026,-0.0421,14.6347,0.9036,0.4281,0.0,0.0,10183.734,0.0,0.1276,10183.8616,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9423.8616
685,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6586,6.9818,0.6893,-0.0807,7.5437,0.8961,-0.4947,12.9561,0.9007,0.0209,5.0589,0.9406,0.0694,0.0,0.0,7850.268,0.0,-0.4851,7849.7829,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7089.7829
686,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4104,3.1791,0.6765,-0.4705,12.922,0.9347,0.3602,3.0,0.9262,-0.1533,11.289,0.9513,-0.0871,0.0,0.0,12315.952,0.0,-0.3507,12315.6013,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11555.6013
687,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2381,12.4621,0.6866,-0.0558,4.42,0.8946,-0.2065,9.3161,0.9688,-0.1855,5.5451,0.9121,-0.0009,0.0,0.0,11110.478,0.0,-0.4487,11110.0293,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10350.0293
688,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5697,3.0,0.7119,-0.1926,12.3917,0.8937,-0.082,11.0744,0.9432,0.0327,13.5329,0.9346,-0.0001,0.0,0.0,11236.486,0.0,-0.242,11236.244,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10476.244
689,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3444,13.5034,0.729,0.219,3.6181,0.9409,0.0297,8.0251,0.9578,0.1802,11.3476,0.8815,-0.1828,0.0,0.0,13430.872,0.0,0.2461,13431.1181,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,12671.1181
690,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6753,11.2198,0.7365,-0.0414,7.8591,0.94,-0.1878,12.1379,0.9416,-0.0485,10.7069,0.8818,-0.1598,0.0,0.0,12796.614,0.0,-0.4375,12796.1765,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,12036.1765
691,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6552,13.7869,0.7726,-0.0657,16.3429,0.9268,0.2976,6.3999,0.9483,-0.4924,9.6399,0.8901,0.0271,0.0,0.0,10888.976,0.0,-0.2334,10888.7426,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10128.7426
692,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6726,10.1315,0.6946,0.0772,5.8033,0.9052,0.2882,8.6046,0.9557,-0.2167,3.0,0.8929,0.5402,0.0,0.0,13175.588,0.0,0.6889,13176.2769,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,12416.2769
693,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4047,9.3912,0.6948,0.4187,5.7612,0.9118,0.1533,11.5186,0.9258,-0.2952,3.0676,0.8499,0.0033,0.0,0.0,8133.786,0.0,0.2801,8134.0661,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7374.0661
694,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.483,8.2852,0.7219,0.1015,7.15,0.9242,-0.0143,9.3338,0.8963,0.0808,9.3923,0.7968,0.4275,0.0,0.0,10443.54,0.0,0.5955,10444.1355,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9684.1355
695,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7858,8.6681,0.6487,-0.1974,5.3512,0.9124,-0.1479,8.3146,0.9103,0.397,14.9227,0.8429,-0.3591,0.0,0.0,9418.604,0.0,-0.3074,9418.2966,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8658.2966
696,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6895,5.9571,0.7177,-0.3892,6.4894,0.9537,-0.2748,11.0829,0.9029,-0.1463,11.2279,0.8302,-0.2043,0.0,0.0,6722.01,0.0,-1.0146,6720.9954,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5960.9954
697,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6087,13.2673,0.7037,0.3326,19.9306,0.9619,0.0574,17.9535,0.8622,-0.0247,19.014,0.8204,-0.1483,0.0,0.0,28731.306,0.0,0.217,28731.523,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,27971.523
698,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5091,4.7346,0.6803,-0.613,11.5733,0.9777,-0.1403,10.3145,0.8325,-0.4333,3.0,0.8315,0.1305,0.0,0.0,3233.458,0.0,-1.0561,3232.4019,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2472.4019
699,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8008,7.8956,0.7103,-0.0054,12.0497,0.9691,0.138,11.6739,0.8789,0.4461,3.2083,0.8312,-0.3112,0.0,0.0,6764.304,0.0,0.2675,6764.5715,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6004.5715
700,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2623,7.0621,0.6822,0.5873,8.734,0.9516,-0.2468,5.3086,0.8713,0.0899,6.1874,0.8659,0.088,0.0,0.0,4279.674,0.0,0.5184,4280.1924,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3520.1924
701,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2376,6.8733,0.7312,-0.4444,5.2874,0.9581,-0.3572,4.0153,0.8983,-0.3429,9.969,0.9379,0.181,0.0,0.0,3510.288,0.0,-0.9635,3509.3245,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2749.3245
702,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4422,7.5185,0.7249,-0.2793,4.4187,0.9651,0.2342,9.6191,0.8699,0.5711,13.5886,0.9123,-0.244,0.0,0.0,6628.036,0.0,0.282,6628.318,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5868.318
703,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6797,5.4228,0.7667,0.0498,8.3243,0.9305,-0.0403,10.5096,0.848,-0.1326,3.226,0.8729,-0.099,0.0,0.0,3678.286,0.0,-0.2221,3678.0639,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2918.0639
