HourOfYear,Electrolyzer_Capacity_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pIES_MW,H2_Storage_Level_kg,H2_to_Market_kg_hr,H2_from_Storage_kg_hr,H2_net_to_Storage_kg_hr,"Electrolyzer_Status (0=off, 1=on)","Electrolyzer_Startup (0=no, 1=yes)","Electrolyzer_Shutdown (0=no, 1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,RegUp_Turbine_MW,RegDown_Turbine_MW,SR_Turbine_MW,NSR_Turbine_MW,RegUp_Electrolyzer_MW,RegDown_Electrolyzer_MW,SR_Electrolyzer_MW,NSR_Electrolyzer_MW,Total_RegUp_MW,Total_RegDown_MW,Total_SR_MW,Total_NSR_MW,EnergyPrice_LMP_USDperMWh,p_RegU_CAISO,deploy_factor_RegU_CAISO,loc_RegU_CAISO,mileage_factor_RegU_CAISO,p_RegD_CAISO,deploy_factor_RegD_CAISO,loc_RegD_CAISO,mileage_factor_RegD_CAISO,p_Spin_CAISO,deploy_factor_Spin_CAISO,loc_Spin_CAISO,p_NSpin_CAISO,deploy_factor_NSpin_CAISO,loc_NSpin_CAISO,p_RMU_CAISO,deploy_factor_RMU_CAISO,loc_RMU_CAISO,p_RMD_CAISO,deploy_factor_RMD_CAISO,loc_RMD_CAISO,Deployed_Up_Reserves_MW,Deployed_Down_Reserves_MW,Revenue_Energy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
6143,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.45,13.219,0.681,-0.0589,0.9936,12.5067,0.6307,0.2192,0.9782,20.2809,0.8833,0.0265,11.4141,0.8558,0.309,3.7363,0.7155,-0.0054,2.4771,0.6613,-0.1736,0.0,0.0,14991.0,0.0,0.4958,14991.4958,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,14231.4958
6144,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.351,9.5704,0.8019,-0.5072,0.9785,12.7182,0.8226,-0.2498,0.9839,12.3003,0.8772,0.0052,3.0,0.8769,0.4444,1.149,0.6967,-0.0011,2.7844,0.661,-0.1483,0.0,0.0,15333.38,0.0,-0.3074,15333.0726,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,14573.0726
6145,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.466,12.547,0.7918,0.0358,0.9884,11.6057,0.5925,-0.5403,1.0074,6.3561,0.854,-0.315,10.7493,0.903,-0.4382,1.4775,0.7597,0.0531,3.9496,0.6954,-0.0851,0.0,0.0,14237.08,0.0,-1.2577,14235.8223,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,13475.8223
6146,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3304,7.0843,0.573,0.0832,0.9878,6.9973,0.7164,0.1667,1.0043,6.9118,0.882,0.1736,9.487,0.8871,0.0514,2.8035,0.7312,-0.1157,2.8484,0.6738,0.2314,0.0,0.0,11905.552,0.0,0.4749,11906.0269,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11146.0269
6147,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1498,7.1184,0.6543,0.2684,0.98,9.1989,0.6257,-0.2548,0.9992,16.2512,0.8948,-0.1321,5.3175,0.8504,-0.4442,2.7958,0.7767,-0.0356,0.7306,0.754,0.2277,0.0,0.0,11836.924,0.0,-0.5627,11836.3613,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11076.3613
6148,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9634,9.9133,0.7176,-0.132,0.9893,9.1302,0.4258,-0.2492,1.0163,6.369,0.9253,0.029,13.6498,0.8633,-0.4136,1.3975,0.7697,-0.1893,1.6674,0.7667,-0.0019,0.0,0.0,10626.092,0.0,-0.7658,10625.3262,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9865.3262
6149,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0832,6.224,0.4589,0.1758,0.9984,7.7256,0.5128,-0.0023,0.9996,8.782,0.9459,0.1208,5.8785,0.8666,0.1867,1.6443,0.7881,0.1913,2.0047,0.728,-0.2565,0.0,0.0,8391.616,0.0,0.481,8392.097,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7632.097
6150,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0897,9.2759,0.4207,0.2243,0.9969,11.7973,0.6263,0.3692,1.0222,5.6183,0.9767,0.0447,3.3183,0.8856,-0.2582,2.5071,0.8216,0.1897,1.2814,0.67,0.0333,0.0,0.0,11814.086,0.0,0.38,11814.466,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11054.466
6151,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2514,8.2207,0.5853,-0.183,1.0066,11.0064,0.7932,0.228,1.0211,9.1152,0.9772,0.3089,17.2988,0.9074,-0.154,2.113,0.7297,0.0034,2.3694,0.6932,-0.0884,0.0,0.0,15295.532,0.0,0.1999,15295.7319,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,14535.7319
6152,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9508,5.3389,0.5189,0.0793,1.0113,13.6514,0.6822,-0.1716,1.0275,3.0,0.9632,0.3563,13.5092,0.9126,0.2002,2.6932,0.7433,-0.5086,2.818,0.6992,-0.1511,0.0,0.0,10621.304,0.0,0.4642,10621.7682,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9861.7682
6153,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.565,10.2079,0.64,-0.368,1.008,9.1006,0.5866,0.0781,1.0191,15.7136,0.979,0.4575,18.9541,0.9234,0.1066,2.4466,0.7173,-0.243,1.4224,0.7287,0.096,0.0,0.0,11614.7,0.0,0.2742,11614.9742,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10854.9742
6154,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.478,10.5228,0.5695,0.141,1.0046,14.4877,0.6347,0.125,1.003,9.1197,0.9282,0.2283,4.302,0.9196,0.1308,3.164,0.7462,-0.2776,3.7151,0.7906,-0.1525,0.0,0.0,12341.64,0.0,0.6251,12342.2651,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11582.2651
6155,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0325,11.5125,0.7863,0.0556,1.0007,10.9166,0.5266,0.1325,0.9913,13.3304,0.9328,0.0851,15.1635,0.9211,-0.4783,3.0338,0.7507,-0.3436,2.6942,0.7614,0.1678,0.0,0.0,16352.35,0.0,-0.2051,16352.1449,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,15592.1449
