HourOfYear,Electrolyzer_Capacity_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pIES_MW,H2_Storage_Level_kg,H2_to_Market_kg_hr,H2_from_Storage_kg_hr,H2_net_to_Storage_kg_hr,"Electrolyzer_Status (0=off, 1=on)","Electrolyzer_Startup (0=no, 1=yes)","Electrolyzer_Shutdown (0=no, 1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,RegUp_Turbine_MW,RegDown_Turbine_MW,SR_Turbine_MW,NSR_Turbine_MW,RegUp_Electrolyzer_MW,RegDown_Electrolyzer_MW,SR_Electrolyzer_MW,NSR_Electrolyzer_MW,Total_RegUp_MW,Total_RegDown_MW,Total_SR_MW,Total_NSR_MW,EnergyPrice_LMP_USDperMWh,p_RegU_CAISO,deploy_factor_RegU_CAISO,loc_RegU_CAISO,mileage_factor_RegU_CAISO,p_RegD_CAISO,deploy_factor_RegD_CAISO,loc_RegD_CAISO,mileage_factor_RegD_CAISO,p_Spin_CAISO,deploy_factor_Spin_CAISO,loc_Spin_CAISO,p_NSpin_CAISO,deploy_factor_NSpin_CAISO,loc_NSpin_CAISO,p_RMU_CAISO,deploy_factor_RMU_CAISO,loc_RMU_CAISO,p_RMD_CAISO,deploy_factor_RMD_CAISO,loc_RMD_CAISO,Deployed_Up_Reserves_MW,Deployed_Down_Reserves_MW,Revenue_Energy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
1,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,8979.5918,0.0,1000.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4836,4.9715,0.5829,0.3214,0.9955,6.879,0.4535,-0.2459,1.0107,3.0,0.938,0.2433,5.4435,0.8092,-0.1345,1.6254,0.8939,0.2995,1.5674,0.7116,-0.1194,0.0,0.0,6643.768,3000.0,0.1843,9643.9523,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8883.9523
2,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,7959.1837,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2376,7.6991,0.7082,0.3407,1.0118,7.9152,0.5883,0.1104,1.0022,3.0,0.9285,0.0534,7.6103,0.8936,0.0273,2.6634,0.8508,-0.129,1.8524,0.7155,0.2194,0.0,0.0,4650.288,3000.0,0.5318,7650.8198,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6890.8198
3,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,7122.449,0.0,820.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5782,8.6681,0.6015,-0.0435,1.0276,8.8985,0.756,0.0978,0.9866,12.8387,0.866,0.0691,6.2566,0.9566,-0.2682,0.5,0.7787,-0.1002,1.9959,0.7651,0.185,0.0,0.0,5539.716,2460.0,-0.1448,7999.5712,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7239.5712
4,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,6102.0408,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9559,8.788,0.5782,-0.2176,1.0419,7.3334,0.5664,0.1574,1.0084,3.0,0.8831,0.3021,6.8635,0.9805,-0.3967,3.0662,0.6362,0.1459,2.7291,0.7192,-0.1615,0.0,0.0,6823.242,3000.0,-0.1548,9823.0872,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9063.0872
5,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,5081.6327,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8293,6.8037,0.4641,-0.4656,1.0517,10.1932,0.819,-0.0157,0.9945,3.0,0.8774,-0.0323,3.0,0.9439,-0.2389,1.4815,0.68,-0.1529,0.5,0.6832,-0.2501,0.0,0.0,3355.134,3000.0,-0.7525,6354.3815,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5594.3815
6,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,4061.2245,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1702,7.6714,0.6349,0.0563,1.0287,4.9156,0.4506,-0.0944,0.9872,8.1589,0.9869,-0.2407,3.0,0.909,-0.1227,0.5899,0.6737,0.059,3.0234,0.6855,0.2266,0.0,0.0,3484.676,3000.0,-0.4015,6484.2745,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5724.2745
7,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,3040.8163,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2359,2.0,0.5941,-0.5332,1.0393,4.7088,0.6061,0.1129,0.9707,3.0,0.972,0.1234,7.1289,0.906,0.0885,1.7087,0.6913,-0.5027,0.5,0.716,0.2888,0.0,0.0,7309.642,3000.0,-0.2084,10309.4336,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9549.4336
8,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,2020.4082,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7663,6.7166,0.4979,-0.0213,1.0362,2.0944,0.6306,-0.0345,0.974,9.3808,0.9403,0.4159,3.0,0.921,-0.1858,1.4024,0.742,0.0385,2.0124,0.6608,0.1584,0.0,0.0,6371.194,3000.0,0.1743,9371.3683,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8611.3683
9,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6529,2.7482,0.6579,-0.1402,1.0227,8.804,0.6607,0.3175,0.9661,8.2994,0.9555,-0.3049,3.0,0.9048,-0.2529,2.28,0.747,-0.0207,3.2332,0.6624,-0.1429,0.0,0.0,4808.102,3000.0,-0.3805,7807.7215,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7047.7215
10,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1249,7.8971,0.4939,0.1395,1.0059,7.7533,0.6778,-0.2738,0.9818,3.0,0.9386,-0.2717,11.3772,0.9272,0.0092,3.818,0.7609,-0.0444,2.9122,0.7101,0.0575,0.0,0.0,7647.462,0.0,-0.3968,7647.0652,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6887.0652
11,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6833,11.5719,0.5338,-0.0034,0.9965,3.2585,0.6069,0.386,1.0047,3.0,0.9159,0.2677,11.9227,0.893,-0.3957,0.5,0.7355,-0.0436,3.8431,0.7202,0.2114,0.0,0.0,6719.654,0.0,0.2546,6719.9086,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5959.9086
12,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.26,5.3129,0.6474,-0.1416,1.0009,8.8189,0.7386,0.146,1.0236,3.0,0.8685,0.3627,14.3639,0.9351,0.3069,0.5,0.6962,-0.241,2.112,0.6925,-0.3247,0.0,0.0,7698.8,0.0,0.674,7699.474,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6939.474
13,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2104,6.8037,0.6436,0.2123,0.9959,11.5776,0.5552,0.0049,1.0326,15.6732,0.8613,0.139,7.7715,0.88,0.1262,4.1492,0.7038,0.3397,1.4923,0.7532,-0.1923,0.0,0.0,9959.952,0.0,0.4824,9960.4344,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9200.4344
14,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5053,5.0772,0.608,-0.2728,1.0002,8.3834,0.5541,0.0446,1.0176,4.9112,0.8704,0.0284,8.1976,0.8734,-0.0893,2.8171,0.7263,0.1956,1.6537,0.7162,-0.2424,0.0,0.0,6652.014,0.0,-0.2891,6651.7249,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5891.7249
15,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0364,5.8577,0.5668,0.1408,0.9894,6.0835,0.5836,0.0152,1.0135,3.7625,0.8735,-0.0786,12.4973,0.9153,0.4656,2.9519,0.7545,-0.0914,2.4701,0.7505,-0.344,0.0,0.0,7613.832,0.0,0.543,7614.375,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6854.375
16,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8487,10.6895,0.5436,0.5155,0.9842,5.648,0.5744,-0.0138,1.0066,4.2518,0.9339,0.1668,8.0953,0.8821,0.3682,1.3442,0.6947,-0.1696,3.0458,0.7135,-0.4252,0.0,0.0,10202.506,0.0,1.0367,10203.5427,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9443.5427
17,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9368,11.1021,0.5055,0.2414,0.9864,9.4718,0.6179,0.3145,0.9957,11.1538,0.9467,0.0558,12.8439,0.9243,-0.0705,3.5411,0.6666,-0.0263,1.8463,0.8053,0.1683,0.0,0.0,9475.984,0.0,0.5412,9476.5252,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8716.5252
18,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2316,14.0923,0.5641,-0.1014,0.9873,9.792,0.6613,0.3738,0.9948,10.6268,0.9692,-0.0331,13.9633,0.905,0.0423,2.4349,0.6699,0.2325,3.4097,0.7814,0.3679,0.0,0.0,11868.008,0.0,0.2816,11868.2896,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11108.2896
19,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1214,5.6028,0.6903,-0.2546,0.9778,15.8584,0.5855,0.0844,0.996,5.8383,0.9621,-0.0726,9.4329,0.8763,-0.4061,2.3608,0.6619,0.0951,3.0987,0.7048,-0.0571,0.0,0.0,9166.132,0.0,-0.6489,9165.4831,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8405.4831
20,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0109,10.0535,0.4777,0.2337,0.9761,5.0282,0.5366,0.1403,0.9936,3.0,0.9479,-0.0527,5.9411,0.8838,0.0138,1.7923,0.6754,-0.2286,3.5795,0.7269,-0.0412,0.0,0.0,7604.142,0.0,0.3351,7604.4771,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6844.4771
21,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3298,12.4006,0.3296,-0.3061,0.9644,11.012,0.673,-0.2767,0.9983,12.0435,0.9435,0.2074,7.5459,0.9061,-0.1763,1.7357,0.6266,-0.1196,0.5,0.6938,0.3926,0.0,0.0,12285.324,0.0,-0.5517,12284.7723,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11524.7723
22,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.461,13.179,0.5106,0.0015,0.9716,6.5768,0.6539,-0.1421,0.997,4.3233,0.9225,-0.0565,5.4023,0.8545,-0.2717,2.4272,0.6831,-0.124,2.0171,0.6925,0.0339,0.0,0.0,8155.18,0.0,-0.4688,8154.7112,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7394.7112
23,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3395,5.2595,0.7457,0.1811,0.9908,6.0174,0.5232,0.0947,0.9928,8.8309,0.9131,0.1625,9.2119,0.8103,-0.1642,3.4141,0.6435,-0.295,0.9325,0.6982,-0.0826,0.0,0.0,7729.01,0.0,0.2741,7729.2841,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6969.2841
24,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2901,2.0,0.5519,-0.2522,0.9855,3.2331,0.4542,-0.0232,0.9965,3.0,0.9564,0.3813,3.0,0.7891,-0.0433,1.537,0.6236,0.3251,2.0476,0.686,-0.0632,0.0,0.0,3910.238,0.0,0.0626,3910.3006,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3150.3006
25,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2803,6.0099,0.589,-0.266,0.9794,9.9108,0.6925,0.094,1.0048,12.5282,0.9207,0.0473,3.0,0.8165,0.1396,1.9569,0.6384,-0.0201,0.5,0.6707,-0.0283,0.0,0.0,4666.514,0.0,0.0149,4666.5289,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3906.5289
26,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.486,15.449,0.603,-0.3295,0.9922,10.0469,0.6362,-0.3184,1.0071,4.9278,0.8929,0.4729,7.052,0.8577,0.2521,2.71,0.6139,-0.1299,2.9316,0.5931,-0.0787,0.0,0.0,5124.68,0.0,0.0771,5124.7571,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4364.7571
27,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5874,2.5523,0.5225,0.3986,0.9829,8.4338,0.4497,0.0677,1.0051,7.2592,0.8932,-0.0083,3.3169,0.8766,-0.0237,2.1107,0.6658,-0.391,0.5,0.6412,0.1184,0.0,0.0,2123.212,0.0,0.4343,2123.6463,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,1363.6463
28,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.222,8.2941,0.7315,0.4246,0.9952,5.4907,0.6716,0.5154,1.006,9.5442,0.8669,-0.5023,16.7483,0.8863,0.163,4.0129,0.6753,0.2886,2.2192,0.6258,0.1055,0.0,0.0,4644.36,0.0,0.6007,4644.9607,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3884.9607
29,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9998,2.0,0.5677,0.4209,0.9851,7.5329,0.6213,-0.2181,1.0229,3.0,0.8888,0.3327,3.0,0.8856,0.2468,0.5,0.6877,0.2586,1.2951,0.6436,0.2313,0.0,0.0,2659.924,0.0,0.7823,2660.7063,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,1900.7063
30,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8855,11.7773,0.6966,0.4544,0.9846,10.1075,0.6664,0.074,1.0111,3.0,0.8995,-0.1492,7.0541,0.9081,0.0833,1.275,0.6417,0.1133,0.5,0.6372,-0.0441,0.0,0.0,3376.49,0.0,0.4625,3376.9525,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2616.9525
31,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3347,2.0,0.5962,-0.1583,0.9852,2.0,0.5823,-0.0981,1.0115,5.8718,0.9366,-0.0467,8.9111,0.884,-0.1189,1.4926,0.6618,-0.0741,2.2016,0.6439,0.2601,0.0,0.0,3167.186,0.0,-0.422,3166.764,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2406.764
32,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.194,2.0,0.6057,-0.4532,0.9943,9.8522,0.5381,0.2218,1.0151,3.0,0.9466,-0.3105,9.4715,0.9552,-0.1454,0.9415,0.6569,-0.056,4.414,0.6444,0.1464,0.0,0.0,8433.72,0.0,-0.6873,8433.0327,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7673.0327
33,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9365,7.5371,0.5029,0.4258,1.0124,9.9577,0.8018,0.044,1.0053,3.0,0.9331,-0.1503,8.568,0.9931,-0.2652,2.5305,0.6243,-0.0758,0.7119,0.6634,-0.3302,0.0,0.0,5675.87,0.0,0.0543,5675.9243,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4915.9243
34,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1275,7.1742,0.707,0.2323,1.007,8.8446,0.7078,-0.1125,1.0024,10.8249,0.9257,-0.1186,8.2688,0.966,-0.2916,2.2838,0.6368,0.499,2.1082,0.6061,-0.166,0.0,0.0,4608.45,0.0,-0.2904,4608.1596,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3848.1596
35,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1172,12.8754,0.5849,0.2122,1.0055,6.1434,0.6318,-0.185,1.0033,10.8285,0.9374,-0.1359,11.8746,0.9435,-0.0651,4.7961,0.7157,0.1834,4.4078,0.6045,-0.3203,0.0,0.0,9164.536,0.0,-0.1738,9164.3622,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8404.3622
36,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4887,10.0217,0.607,-0.26,0.989,4.8758,0.5662,0.1151,0.9923,8.4038,0.9118,0.1128,4.9974,0.9405,-0.1114,1.5072,0.6638,-0.3379,1.688,0.6819,0.1237,0.0,0.0,6265.706,0.0,-0.1435,6265.5625,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5505.5625
37,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0493,2.9057,0.7627,0.0243,0.9906,9.8279,0.7408,-0.0985,0.991,14.3273,0.866,0.0086,13.8811,0.9509,-0.2387,2.4733,0.7356,-0.4352,3.099,0.6894,0.0162,0.0,0.0,9898.734,0.0,-0.3043,9898.4297,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9138.4297
38,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.278,7.1361,0.6292,0.0398,1.0028,7.7235,0.8444,0.6128,0.9785,13.3746,0.8604,0.5159,10.1495,0.9324,-0.1117,1.0492,0.776,0.0951,2.9756,0.6818,0.1896,0.0,0.0,6565.64,0.0,1.0568,6566.6968,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5806.6968
39,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0249,6.2125,0.6325,-0.0158,1.0238,10.8932,0.5263,0.0459,0.9957,14.0663,0.8304,-0.138,7.4327,0.9335,0.0824,2.5998,0.7144,-0.2791,1.4745,0.6546,-0.2909,0.0,0.0,8369.462,0.0,-0.0255,8369.4365,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7609.4365
40,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6494,5.5923,0.7095,-0.2126,1.0162,12.1578,0.5939,0.1215,0.979,9.3841,0.8355,-0.0437,13.5301,0.9178,-0.077,3.7748,0.742,-0.0712,0.5918,0.7277,0.2061,0.0,0.0,11646.772,0.0,-0.2118,11646.5602,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10886.5602
41,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6985,11.3558,0.6797,-0.4752,1.0198,8.5095,0.5625,-0.4546,0.9785,3.0,0.8014,0.3946,13.6722,0.933,-0.4736,1.7765,0.7481,-0.0587,2.828,0.7817,0.133,0.0,0.0,12805.43,0.0,-1.0088,12804.4212,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,12044.4212
42,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5226,12.7073,0.5687,-0.1882,1.0267,4.9087,0.593,0.0427,0.9641,5.2184,0.8027,-0.4773,14.2322,0.8994,0.0794,2.6426,0.7745,-0.3273,1.7759,0.7657,0.448,0.0,0.0,11598.588,0.0,-0.5434,11598.0446,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,10838.0446
43,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0888,6.7974,0.5472,-0.7179,1.0088,5.337,0.8262,-0.4048,0.9868,7.3685,0.8474,0.086,12.6365,0.9269,0.0518,1.9264,0.7689,0.0181,2.2914,0.7588,0.0896,0.0,0.0,10673.744,0.0,-0.9849,10672.7591,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9912.7591
