Electrolyzer_Capacity_MW,Battery_Capacity_MWh,Battery_Power_MW,H2_Storage_Capacity_kg,H2_Constant_Sales_Rate_kg_hr,pIES_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pAuxiliary_MW,H2_Storage_Level_kg,H2_from_Storage_kg_hr,H2_to_Storage_Input_kg_hr,"Electrolyzer_Status(0=off,1=on)","Electrolyzer_Startup(0=no,1=yes)","Electrolyzer_Shutdown(0=no,1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,Battery_SOC_MWh,Battery_Charge_MW,Battery_Discharge_MW,Battery_Charge_Binary,Battery_Discharge_Binary,pGridPurchase_MW,pGridSale_MW,NSR_Electrolyzer_Bid_MW,SR_Electrolyzer_Bid_MW,ThirtyMin_Electrolyzer_Bid_MW,NSR_Battery_Bid_MW,SR_Battery_Bid_MW,ThirtyMin_Battery_Bid_MW,NSR_Turbine_Bid_MW,SR_Turbine_Bid_MW,ThirtyMin_Turbine_Bid_MW,Total_NSR_Bid_MW,Total_SR_Bid_MW,Total_ThirtyMin_Bid_MW,NSR_Electrolyzer_Deployed_MW,SR_Electrolyzer_Deployed_MW,ThirtyMin_Electrolyzer_Deployed_MW,NSR_Battery_Deployed_MW,SR_Battery_Deployed_MW,ThirtyMin_Battery_Deployed_MW,NSR_Turbine_Deployed_MW,SR_Turbine_Deployed_MW,ThirtyMin_Turbine_Deployed_MW,EnergyPrice_LMP_USDperMWh,p_Spin10_ISONE,loc_Spin10_ISONE,winning_rate_Spin10_ISONE,deploy_factor_Spin10_ISONE,p_NSpin10_ISONE,loc_NSpin10_ISONE,winning_rate_NSpin10_ISONE,deploy_factor_NSpin10_ISONE,p_OR30_ISONE,loc_OR30_ISONE,winning_rate_OR30_ISONE,deploy_factor_OR30_ISONE,Revenue_Energy_USD,Revenue_Hydrogen_Sales_USD,Revenue_Hydrogen_Subsidy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_VOM_Battery_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_Fuel_NPP_USD,Cost_Fixed_OM_NPP_USD,Cost_HourlyOpex_NPP_USD,Cost_HourlyOpex_H2_Battery_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,10350.9983,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7759,0.0,0.0,0.2153,0.0,0.0,0.0,0.2396,0.0,0.0,0.0,0.2566,0.0,18250.6697,13647.1201,14230.3436,27877.4637,0.0,46128.1334,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,-1745.7643
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,10357.6996,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.676,0.0,0.0,0.2895,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.1178,0.0,18148.1015,13647.1201,14230.3436,27877.4637,0.0,46025.5652,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,-1848.3325
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,10364.4009,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,150.0,0.0,0.0,0.0,0.0,0.0,12.9197,0.0,0.0,162.9197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4418,0.147,0.0,0.3977,0.0,0.0,0.0,0.1323,0.0,0.0,0.0,0.2759,0.0,19961.0635,13647.1201,14230.3436,27877.4637,9.5246,47848.0519,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,-25.8458
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,10371.1023,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,150.0,0.0,0.0,0.0,0.0,0.0,12.9197,0.0,0.0,162.9197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.181,0.259,0.0,0.3752,0.0,0.0,0.0,0.2098,0.0,0.0,0.0,0.1659,0.0,26880.2582,13647.1201,14230.3436,27877.4637,15.832,54773.554,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,6899.6563
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,10377.8036,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9379,0.0,0.0,0.3881,0.0,0.0,0.0,0.2194,0.0,0.0,0.0,0.3653,0.0,18416.9965,13647.1201,14230.3436,27877.4637,0.0,46294.4602,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,-1579.4375
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,10384.5049,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,150.0,0.0,0.0,0.0,0.0,0.0,12.9197,0.0,0.0,162.9197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5535,0.237,0.0,0.2983,0.0,0.0,0.0,0.2404,0.0,0.0,0.0,0.2267,0.0,19049.0383,13647.1201,14230.3436,27877.4637,11.5179,46938.02,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,-935.8777
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,10391.2062,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0775,0.0,0.0,0.2494,0.0,0.0,0.0,0.1996,0.0,0.0,0.0,0.1118,0.0,17533.6164,13647.1201,14230.3436,27877.4637,0.0,45411.0801,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,-2462.8176
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,10397.9075,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6995,0.0,0.0,0.2465,0.0,0.0,0.0,0.1829,0.0,0.0,0.0,0.3899,0.0,17145.5205,13647.1201,14230.3436,27877.4637,0.0,45022.9842,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,-2850.9135
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,10404.6088,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4016,0.0,0.0,0.4563,0.0,0.0,0.0,0.1693,0.0,0.0,0.0,0.2657,0.0,16839.664,13647.1201,14230.3436,27877.4637,0.0,44717.1277,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,-3156.77
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,10411.3101,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6987,0.0,0.0,0.4945,0.0,0.0,0.0,0.2976,0.0,0.0,0.0,0.2395,0.0,16117.9905,13647.1201,14230.3436,27877.4637,0.0,43995.4543,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,-3878.4434
